door_id,location_name,zone_a,zone_b,default_light_code,access_mode,default_door_state,eligible_agents,authorization_source,existing_indicator_light,light_render_action,light_anchor_rule,door_open_rule,door_close_rule,denied_access_behavior,collision_and_pathfinding_rule,dynamic_state_rule,reservation_or_group_rule,blue_restricted_rule,red_blocked_rule,elevator_rule,source_confidence,manual_review_required,implementation_notes
D11,Security A restricted inner door,Security A,"Data, Memory, Knowledge",RED,blocked,locked_closed,none,red state is absolute; no rank or group bypass,yes,overlay red light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",do not open for any agent while red,remain closed and locked,cancel or reroute the path before the agent reaches the door; optionally show blocked-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,only an explicit system/state change may replace red; do not infer permission from rank,meetings and group assignments do not override red,not applicable,red means no access for anyone,not applicable,medium,yes,"Hard-blocked connection. No agent may pass while red, including high-ranking agents."
D12,Data west-side access,"Data, Memory, Knowledge",Focus B / west inner circulation,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,medium,yes,"General-access inner connection on the west side of Data, Memory, Knowledge."
D13,Focus B entrance,Focus B,RM1 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,"Reserved room access for meetings, specified events, assigned work, or explicitly authorized group sessions."
D14,RM4 main walkway door,RM4,Main Connecting Walkway - West,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access circulation door beside the lower-left side of the Central Nexus.
D15,Plugins main walkway entrance,Plugins & Automation,Main Connecting Walkway - West,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Primary east-side entrance for Plugins & Automation.
D16,Data east-side access,"Data, Memory, Knowledge",Focus C / east inner circulation,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,medium,yes,"General-access inner connection on the east side of Data, Memory, Knowledge."
D17,Security B restricted inner door,Security B,"Data, Memory, Knowledge",RED,blocked,locked_closed,none,red state is absolute; no rank or group bypass,yes,overlay red light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",do not open for any agent while red,remain closed and locked,cancel or reroute the path before the agent reaches the door; optionally show blocked-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,only an explicit system/state change may replace red; do not infer permission from rank,meetings and group assignments do not override red,not applicable,red means no access for anyone,not applicable,medium,yes,"Hard-blocked connection. No agent may pass while red, including high-ranking agents."
D18,Security B north entrance,Security B,RM6 circulation zone,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General entrance to Security B from the north/room corridor.
D19,Focus C entrance,Focus C,RM6 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,"Reserved room access for meetings, specified events, assigned work, or explicitly authorized group sessions."
D20,Conference 1 west entrance,Conference 1,RM6 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,"Conference-room access; only active meeting participants, assigned groups, or explicitly invited agents may enter."
D21,RM8 lower access door,RM8,Lower east service/exterior boundary,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,medium,yes,Marked as general access; confirm whether the opposite side is an exterior/service destination or another future area.
D22,Conference 1 east entrance,Conference 1,RM9 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,Second conference-room access point; access state must stay synchronized with D20 for the same active meeting.
D23,Sandbox 1 west entrance,Sandbox 1,RM9 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,Reserved-access entry for Sandbox 1; use meeting/event/group-work authorization.
D24,Sandbox 1 north entrance,Sandbox 1,RM10 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,high,no,Reserved-access connection between Sandbox 1 and RM10.
D25,Project room east-side entrance,Project & Release MGMT,RM10 circulation zone,YELLOW,event,closed_when_idle_reserved,active meeting participants; invited agents; explicitly assigned event or work group; approved room users,"meeting/event reservation data, assigned group membership, or explicit temporary authorization",yes,overlay yellow light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.","open only when the approaching agent is included in the active reservation, event, group assignment, or temporary authorization",close after the authorized agent clears the threshold and the doorway clearance zone is empty,stop or reroute nonparticipants and show reserved-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,yellow access may activate or expire with schedules; visual light and access logic must remain synchronized,"support start/end times, participant IDs, group IDs, room assignment, and optional host override",not applicable unless a separate blue policy is later layered on the same door,a red emergency/administrative override takes precedence over yellow,not applicable,medium,yes,Marked yellow in the door-light plan. Treat as scheduled/group access even though the department room may also have green entrances.
D26,Software Engineering lower entrance,Software Eng,Focus D / RM10 upper circulation,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access lower-right entrance for Software Engineering.
D27,Project room lower entrance,Project & Release MGMT,RM6 circulation zone,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access entrance on the lower side of Project & Release MGMT.
D28,Project room main walkway entrance,Project & Release MGMT,Main Connecting Walkway - East,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Primary upper-left/main-walkway entrance for Project & Release MGMT.
D29,RM7 main walkway door,RM7,Main Connecting Walkway - East / Elevator lobby,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General circulation door beside the lower-right side of the Central Nexus.
D30,Software Engineering main entrance,Software Eng,Main Connecting Walkway - East,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,Primary west-side entrance for Software Engineering.
D31,Software stair-side entrance,Software Eng,Stairs1 Landing,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access connection from Software Engineering to the Stairs1 landing.
D32,Reliability stair-side entrance,Reliability & Operations,Stairs1 Landing,GREEN,open,closed_when_idle_unlocked,any active agent,none required,yes,overlay green light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",open automatically when any active agent with a valid path enters the approach trigger,close after the doorway clearance zone is empty; never close through an agent,not applicable unless the door is temporarily overridden by another system,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,may change if a future system explicitly overrides access; visual light and logic must update together,not required,not applicable,not applicable,not applicable,high,no,General-access connection from Reliability & Operations to the Stairs1 landing.
D33,Stairs1 restricted upper door,Stairs1,Upper-right restricted/future floor boundary,RED,blocked,locked_closed,none,red state is absolute; no rank or group bypass,yes,overlay red light effect on existing door indicator,"Place the effect directly over the existing small door light shown in the clean artwork; if missing, place the new fixture at the markup-indicated location and match nearby door lights in scale, perspective, and pixel-art style.",do not open for any agent while red,remain closed and locked,cancel or reroute the path before the agent reaches the door; optionally show blocked-access feedback,Closed door = active collision blocker and disconnected navigation threshold. Open door = remove the temporary blocker and connect the two adjacent walkable regions. Prevent path planning through a door unless the approaching agent can satisfy its access rule.,only an explicit system/state change may replace red; do not infer permission from rank,meetings and group assignments do not override red,not applicable,red means no access for anyone,not applicable,high,no,No access while red. Intended to prevent agents from leaving the active floor through the upper-right stair boundary.
